Location,Latitude,Longitude
Bengaluru,12.98815675,77.62260003796
Mysuru,12.3051828,76.6553609
Chamarajanagar,11.9346006,76.9328209
Ramanagara,12.7252766,77.2804797
Yadgir,16.7446491,77.1297018
Chikkamagaluru,13.5,75.5
Shivamogga,13.9326093,75.574978
Vijayapura,16.666667,75.916667
Bagalkot,16.1793224,75.6999315
Madikeri,12.42149,75.7387543
Koppal,15.3484144,76.1547421
Raichur,16.083333,77.166667
Mangalore,12.8698101,74.8430082
Bidar,18.083333,77.333333
Gadag,15.42122805,75.65506936797857
Davanagere,14.4661266,75.9206361
Udupi,13.3419169,74.7473232
Hassan,13.0070817,76.0992703
Haveri,14.7874825,75.3996731
Belgaum,15.8572666,74.5069343
Dharwad,15.4540505,75.0066516
Tumakuru,13.3400771,77.1006208
Bengaluru,12.98815675,77.62260003796
Kalaburgi,15.4387761,77.4413999
Hubballi,15.3518378,75.1379848
Bengaluru,12.98815675,77.62260003796
Thiruvananthapuram,8.4882267,76.947551
Eloor,10.06977495,76.30790414435911
Kochi,9.9674277,76.2454436
Kozhikode,11.2450558,75.7754716
Ernakulam,9.98408,76.2741457
Thiruvananthapuram,8.4882267,76.947551
Kollam,8.8879509,76.5955013
Kannur,11.8763836,75.3737973
Thrissur,10.5270099,76.214621
Pune,18.521428,73.8544541
Mumbai,19.0785451,72.878176
Navi Mumbai,19.0308262,73.0198537
Chandrapur,20.0967555,79.50454752230621
Solapur,17.84990665,75.27632027348457
Nagpur,21.1498134,79.0820556
Chandrapur,20.0967555,79.50454752230621
Nashik,20.0112475,73.7902364
Thane,19.1943294,72.9701779
Aurangabad,19.877263,75.3390241
Navi Mumbai,19.0308262,73.0198537
Kalyan,19.2716301,73.23586552517415
Mumbai,19.0785451,72.878176
Mumbai,19.0785451,72.878176
Mumbai,19.0785451,72.878176
Mumbai,19.0785451,72.878176
Mumbai,19.0785451,72.878176
Mumbai,19.0785451,72.878176
Mumbai,19.0785451,72.878176
Mumbai,19.0785451,72.878176
Mumbai,19.0785451,72.878176
Mumbai,19.0785451,72.878176
Mumbai,19.0785451,72.878176
Pune,18.521428,73.8544541
Mumbai,19.0785451,72.878176
Mumbai,19.0785451,72.878176
Pune,18.521428,73.8544541
Pune,18.521428,73.8544541
Mumbai,19.0785451,72.878176
Pune,18.521428,73.8544541
Pune,18.521428,73.8544541
Navi Mumbai,19.0308262,73.0198537
Mumbai,19.0785451,72.878176
Mumbai,19.0785451,72.878176
Mumbai,19.0785451,72.878176
Mumbai,19.0785451,72.878176
Pune,18.521428,73.8544541
Mumbai,19.0785451,72.878176
Pune,18.521428,73.8544541
Navi Mumbai,19.0308262,73.0198537
Shillong,25.5760446,91.8825282
Shillong,25.5760446,91.8825282
Imphal,24.7991162,93.9364419
Imphal,24.7991162,93.9364419
Ujjain,23.1885131,75.7716562
Dewas,23.0,76.166667
Pithampur,22.6105576,75.6790283
Singrauli,24.1974432,82.6661453
Mandideep,23.0965633,77.5144525
Satna,24.5,81.0
Ratlam,23.3311044,75.0360846
Damoh,23.75,79.583333
Maihar,24.260444,80.7592749
Katni,23.7477258,80.40158570175886
Indore,22.7203616,75.8681996
Bhopal,23.2584857,77.401989
Jabalpur,23.1608938,79.9497702
Sagar,23.75,78.75
Gwalior,26.2037247,78.1573628
Gwalior,26.2037247,78.1573628
Bhopal,23.2584857,77.401989
Gwalior,26.2037247,78.1573628
Sagar,23.75,78.75
Gwalior,26.2037247,78.1573628
Bhopal,23.2584857,77.401989
Indore,22.7203616,75.8681996
Aizawl,23.7433532,92.7382756
Kohima,25.6618755,94.1019156
Brajrajnagar,21.8498594,83.9254698
Talcher,20.9458183,85.2111736
Suakati,,
Nayagarh,20.1160666,85.11195643843573
Baripada,21.93062725,86.73230897103748
Bileipada,,
Tensa,51.29575935,12.500854957218271
Rairangpur,22.215745,86.23254623043805
Keonjhar,21.5,85.5
Rourkela,22.253999399999998,84.8577520139704
Rourkela,22.253999399999998,84.8577520139704
Rourkela,22.253999399999998,84.8577520139704
Amritsar,31.6343083,74.8736788
Mandi Gobindgarh,30.6518301,76.2998708
Ludhiana,30.9090157,75.851601
Jalandhar,31.3323762,75.576889
Patiala,30.3295605,76.4127819
Khanna,25.5656914,80.0634887
Rupnagar,30.983333,76.516667
Bathinda,30.206791,74.9463699
Puducherry,10.91564885,79.80694879844232
Jodhpur,26.2967719,73.0351433
Jaipur,26.9154576,75.8189817
Jaipur,26.9154576,75.8189817
Bhiwadi,28.2039413,76.837441
Pali,25.7682376,73.3275135
Alwar,27.5,76.5
Ajmer,26.4691,74.639
Kota,25.1737019,75.8574194
Jaipur,26.9154576,75.8189817
Udaipur,24.578721,73.6862571
Jaisalmer,26.921761,70.9191144
Dausa,26.893342,76.3376514
Banswara,23.550075,74.446294
Jodhpur,26.2967719,73.0351433
Hanumangarh,29.5760254,74.3342203
Sirohi,24.833333,72.75
Kota,25.1737019,75.8574194
Bikaner,28.0159286,73.3171367
Kota,25.1737019,75.8574194
Barmer,25.745304,71.3998217
Bharatpur,24.302175249999998,81.36063510323893
Churu,28.5,74.5
Dholpur,23.37500285,78.40474045028319
Sawai Madhopur,26.0188919,76.3522441
Chittorgarh,24.8837157,74.6244155
Jhunjhunu,28.1287995,75.3992581
Jaipur,26.9154576,75.8189817
Jodhpur,26.2967719,73.0351433
Pratapgarh,25.897401100000003,81.93736524277841
Jaipur,26.9154576,75.8189817
Jhalawar,24.5931704,76.1664528
Karauli,26.4956,77.0275
Sri Ganganagar,29.9270556,73.8761519
Sikar,27.583333,75.166667
Rajsamand,25.0585825,73.8880816
Gangtok,27.329046,88.6122673
Hyderabad,17.360589,78.4740613
Hyderabad,17.360589,78.4740613
Hyderabad,17.360589,78.4740613
Hyderabad,17.360589,78.4740613
Hyderabad,17.360589,78.4740613
Hyderabad,17.360589,78.4740613
Hyderabad,17.360589,78.4740613
Hyderabad,17.360589,78.4740613
Hyderabad,17.360589,78.4740613
Hyderabad,17.360589,78.4740613
Hyderabad,17.360589,78.4740613
Hyderabad,17.360589,78.4740613
Hyderabad,17.360589,78.4740613
Hyderabad,17.360589,78.4740613
Chennai,13.0836939,80.270186
Chennai,13.0836939,80.270186
Chennai,13.0836939,80.270186
Chennai,13.0836939,80.270186
Coimbatore,11.0018115,76.9628425
Chennai,13.0836939,80.270186
Thoothukudi,8.8052602,78.1452745
Chennai,13.0836939,80.270186
Chennai,13.0836939,80.270186
Chennai,13.0836939,80.270186
Gummidipoondi,13.4304882,80.08203490514214
Hosur,12.7328844,77.8309478
Tirupur,11.1671878,77.3472673
Chengalpattu,12.6840886,79.9836371
Chennai,13.0836939,80.270186
Vellore,12.7948109,79.0006410968549
Salem,44.9391565,-123.033121
Ramanathapuram,9.3895523,78.85907071521498
Dindigul,10.3303299,78.0673979084697
Coimbatore,11.0018115,76.9628425
Ooty,11.4126769,76.7030504
Kanchipuram,12.9647163,79.9839686
Ariyalur,11.076035950000001,79.11745538182738
Cuddalore,11.74269375,79.75030644171935
Cuddalore,11.74269375,79.75030644171935
Palkalaiperur,,
Agartala,23.8312377,91.2823821
Agartala,23.8312377,91.2823821
Dehradun,30.3255646,78.0436813
Kashipur,29.2117573,78.9617306
Rishikesh,30.1086537,78.2916193
Lucknow,26.8381,80.9346001
Lucknow,26.8381,80.9346001
Varanasi,25.3356491,83.0076292
Agra,27.1752554,78.0098161
Kanpur,26.4609135,80.3217588
Lucknow,26.8381,80.9346001
Noida,28.5706333,77.3272147
Noida,28.5706333,77.3272147
Ghaziabad,28.6711527,77.4120356
Moradabad,28.8334982,78.7732864
Lucknow,26.8381,80.9346001
Greater Noida,28.4670734,77.5137649
Bulandshahr,28.416667,77.833333
Muzaffarnagar,29.54212515,77.64512491521087
Baghpat,28.97024845,77.3341671760283
Hapur,28.739459150000002,77.83517038273197
Ghaziabad,28.6711527,77.4120356
Ghaziabad,28.6711527,77.4120356
Ghaziabad,28.6711527,77.4120356
Greater Noida,28.4670734,77.5137649
Noida,28.5706333,77.3272147
Noida,28.5706333,77.3272147
Meerut,28.9826533,77.7081013
Lucknow,26.8381,80.9346001
Meerut,28.9826533,77.7081013
Meerut,28.9826533,77.7081013
Kanpur,26.4609135,80.3217588
Agra,27.1752554,78.0098161
Varanasi,25.3356491,83.0076292
Agra,27.1752554,78.0098161
Varanasi,25.3356491,83.0076292
Gorakhpur,26.916667,83.25
Prayagraj,25.4381302,81.8338005
Agra,27.1752554,78.0098161
Lucknow,26.8381,80.9346001
Prayagraj,25.4381302,81.8338005
Firozabad,27.178397150000002,78.38936471833091
Prayagraj,25.4381302,81.8338005
Lucknow,26.8381,80.9346001
Kanpur,26.4609135,80.3217588
Varanasi,25.3356491,83.0076292
Agra,27.1752554,78.0098161
Vrindavan,27.5753726,77.6938045
Kanpur,26.4609135,80.3217588
Agra,27.1752554,78.0098161
Moradabad,28.8334982,78.7732864
Moradabad,28.8334982,78.7732864
Moradabad,28.8334982,78.7732864
Moradabad,28.8334982,78.7732864
Baghpat,28.97024845,77.3341671760283
Firozabad,27.178397150000002,78.38936471833091
Jhansi,25.354864550000002,78.42564420838272
Bareilly,28.416667,79.383333
Khurja,28.206280749999998,77.87643676127676
Moradabad,28.8334982,78.7732864
Moradabad,28.8334982,78.7732864
Bareilly,28.416667,79.383333
Haldia,22.028124,88.0632655
Kolkata,22.5726459,88.3638953
Howrah,22.5736296,88.3251045
Durgapur,23.5350475,87.3380425
Kolkata,22.5726459,88.3638953
Howrah,22.5736296,88.3251045
Asansol,23.6871297,86.9746587
Siliguri,26.7164127,88.4309916
Kolkata,22.5726459,88.3638953
Howrah,22.5736296,88.3251045
Kolkata,22.5726459,88.3638953
Kolkata,22.5726459,88.3638953
Kolkata,22.5726459,88.3638953
Kolkata,22.5726459,88.3638953
